Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1342337,Murphy Express 8728,6323 NW 23rd St,,Gainesville,FL,32653,7107,ALACHUA,Convenience Store,29.712778,-82.355743,,,-9167799.374661705,3466683.303776132
1343576,Chun Ching Market,418 NW 8th Ave,,Gainesville,FL,32601,4241,ALACHUA,Other,29.659443,-82.329384,,,-9164865.104203884,3459849.1000552615
1351227,Halal Meat & Fish Market,3550 SW 34th St,Ste H,Gainesville,FL,32608,6521,ALACHUA,Specialty Store,29.621223,-82.372932,,,-9169712.84538895,3454953.920028758
1352082,Phoenix Super Food Store,2516 SW 31st Pl,,Gainesville,FL,32608,7817,ALACHUA,Convenience Store,29.62278,-82.359596,,,-9168228.28865973,3455153.302764174
1352284,Dollar General 19744,7487 SW 13th Rd,,Gainesville,FL,32607,3567,ALACHUA,Other,29.640003,-82.422508,,,-9175231.620464517,3457359.0117809097
1353841,Williamson's Food Store,840 N State Road 21,,Melrose,FL,32666,3953,PUTNAM,Grocery Store,29.710331,-82.044106,,,-9133108.10250936,3466369.6723548914
1361566,Newberry Markets Inc. 5528,24220 W Newberry Rd,,Newberry,FL,32669,2211,ALACHUA,Supermarket,29.650276,-82.598907,,,-9194868.267320959,3458674.8302981323
1361568,Trenton Markets Inc. 5527,113 S Main St,,Trenton,FL,32693,3231,GILCHRIST,Supermarket,29.612963,-82.818382,,,-9219300.112562813,3453896.231406247
1361571,Keystone Markets Inc. 5522,7380 SR 100,STE 1,Keystone Heights,FL,32656,    ,CLAY,Supermarket,29.791508,-82.04081,,,-9132741.193467706,3476778.194333598
1361573,Interlachen Markets Inc. 5524,1114 SR 20,,Interlachen,FL,32148,    ,PUTNAM,Supermarket,29.629114,-81.880997,,,-9114950.89168556,3455964.439372578
1361574,Hawthorne Markets Inc. 5525,6005 SE US Hwy. 301,,Hawthorne,FL,32640,    ,ALACHUA,Supermarket,29.599108,-82.085365,,,-9137701.03338,3452122.3005785346
1380797,The Gator Store,522 SW 2nd Ave,Ste 140,Gainesville,FL,32601,6290,ALACHUA,Convenience Store,29.650291,-82.330154,,,-9164950.820211794,3458676.7516732253
1381905,Green Apple,1602A NE Waldo Rd,,Gainesville,FL,32609,3901,ALACHUA,Convenience Store,29.666716,-82.301765,,,-9161790.571187666,3460780.829266991
1384796,AK Food Mart,1720 S Main St,,Gainesville,FL,32601,8428,ALACHUA,Convenience Store,29.635574,-82.327667,,,-9164673.968638193,3456791.7641657055
1395912,Melrose Food Mart,1647 State Road 100,,Melrose,FL,32666,3264,PUTNAM,Convenience Store,29.738182,-81.962692,,,-9124045.137485918,3469939.7803510954
1396370,Sai Kwik Stop,1201 SW 16th Ave,,Gainesville,FL,32601,8410,ALACHUA,Convenience Store,29.636271,-82.338173,,,-9165843.491208466,3456881.0313280304
1399427,Circle K 2706782,5237 SW 20th Ave,,Gainesville,FL,32607,3803,ALACHUA,Convenience Store,29.639835,-82.400375,,,-9172767.78617479,3457337.4945951924
1400276,Union Street Farmers Market,111 E University Ave,,Gainesville,FL,32601,5425,ALACHUA,Farmers and Markets,29.651918,-82.323547,,,-9164215.332336126,3458885.158524967
1400693,Wawa 5325,2373 SW Archer Rd,,Gainesville,FL,32608,1024,ALACHUA,Convenience Store,29.633471,-82.358276,,,-9168081.346931884,3456522.4295418267
1400695,Wawa 5385,1614 W University Ave,,Gainesville,FL,32603,1840,ALACHUA,Convenience Store,29.652098,-82.34375,,,-9166464.32000862,3458908.2154211323
1408721,Eastern Market,1349 NW 23rd Ave,,Gainesville,FL,32605,3014,ALACHUA,Grocery Store,29.672951,-82.339508,,,-9165992.102728674,3461579.6360481195
1408865,African Unique N/A,5001 NW 34th Blvd,Ste C,Gainesville,FL,32605,1190,ALACHUA,Convenience Store,29.700132,-82.369339,,,-9169312.874458529,3465062.5512022255
1410366,Alachua County Farmers Market,5920 NW 13th St,,Gainesville,FL,32653,2125,ALACHUA,Farmers and Markets,29.710623,-82.352516,,,-9167440.146664914,3466407.097525386
1413621,Nicoya Farm,2202 Se 27th St,,Gainesville,FL,32641,1047,ALACHUA,Farmers and Markets,29.630924,-82.289261,,,-9160398.632274786,3456196.238646814
1415882,Wawa Store 5384,2305 NW 13th St,,Gainesville,FL,32609,2839,ALACHUA,Convenience Store,29.674267,-82.338852,,,-9165919.077142715,3461748.2437770516
1422207,Eastside Fresh Market,2047 SE Hawthorne Rd,,Gainesville,FL,32641,7441,ALACHUA,Farmers and Markets,29.646751,-82.297974,,,-9161368.558998067,3458223.315090836
1422496,Brave Harvest NAFMNP,2025 NW 6th St,,Gainesville,FL,32609,3599,ALACHUA,Farmers and Markets,29.671274,-82.330406,,,-9164978.872723475,3461364.7797003803
1422886,Grove Street Farmers' Market,1001 NW 4th St,,Gainesville,FL,32601,4256,ALACHUA,Farmers and Markets,29.661345,-82.32869,,,-9164787.848477272,3460092.7548957993
1423560,GNV Market At Heartwood ,619 S Main St,,Gainesville,FL,32601,    ,ALACHUA,Farmers and Markets,29.645405,-82.32473,,,-9164347.023293734,3458050.9109020764
1423983,Wawa Store 5313,1007 E University Ave,,Gainesville,FL,32601,5617,ALACHUA,Convenience Store,29.651655,-82.313004,,,-9163041.69094469,3458851.469911931
1424909,Winn Dixie Store 2564,1459 NW 23rd Ave,,Gainesville,FL,32605,3016,ALACHUA,Supermarket,29.673029,-82.340591,,,-9166112.661737205,3461589.6294538192
1426114,Dollar General 21780,7689 Monongahela Ave,,Keystone Heights,FL,32656,7061,CLAY,Other,29.779448,-81.960175,,,-9123764.946327591,3475231.326737765
1427153,Sun Store,21 SE 9th St,,Gainesville,FL,32601,6925,ALACHUA,Convenience Store,29.651279,-82.314384,,,-9163195.311841985,3458803.3068766017
1429985,Sunny Foodmart 0,1136 NE 8th Ave,,Gainesville,FL,32601,4596,ALACHUA,Convenience Store,29.659662,-82.310524,,,-9162765.618607523,3459877.1547155064
